Test ID,Module,Type,Scenario,Preconditions,Steps,Test Data,Expected Result,Priority
FIN-001,Login & Session,Functional,User logs in with valid credentials,Registered account exists,"1. Open app 2. Enter valid email/password 3. Tap Login",email: trader1@example.com,User lands on Portfolio dashboard; session token issued,High
FIN-002,Login & Session,Negative,User logs in with wrong password 3 times,Registered account exists,"1. Enter valid email 2. Enter wrong password 3 times",wrongpass x3,Account is temporarily locked; lockout message shown,High
FIN-003,Login & Session,Security,Session expires after inactivity,User logged in,"1. Log in 2. Leave app idle for the configured timeout 3. Try to place an order",Idle 15 min,User is signed out and redirected to login before the action completes,High
FIN-004,Order Placement,Functional,User places a market buy order within balance,Sufficient balance available,"1. Select instrument 2. Choose Market Buy 3. Enter quantity 4. Confirm",Qty: 10 units,Order executes; balance and holdings update correctly,High
FIN-005,Order Placement,Negative,User places an order exceeding available balance,Balance is limited,"1. Select instrument 2. Enter quantity above balance 3. Confirm",Qty: 10000 units,Order is rejected with an insufficient-balance error; no funds deducted,High
FIN-006,Order Placement,Edge Case,User places order at exactly the minimum allowed quantity,Min order size = 1 unit,"1. Enter quantity = 1 2. Confirm",Qty: 1 unit,Order accepted and processed normally,Medium
FIN-007,Order Placement,Negative,User double-taps Confirm on order screen,Slow network simulated,"1. Fill order 2. Tap Confirm twice quickly",N/A,Only one order is placed; UI disables button after first tap,High
FIN-008,Order Cancellation,Functional,User cancels a pending limit order,An open limit order exists,"1. Go to Open Orders 2. Select order 3. Tap Cancel 4. Confirm",Limit order pending,Order status changes to Cancelled; reserved funds are released,Medium
FIN-009,Order Cancellation,Edge Case,User attempts to cancel an order that just got filled,Order fills at the moment of cancel attempt,"1. Tap Cancel right as order fills",Timing-dependent,App shows 'Order already filled' instead of a false cancellation,Medium
FIN-010,Portfolio & Balance,Functional,Portfolio value updates after a trade,Holdings exist,"1. Place a trade 2. Open Portfolio tab",N/A,Portfolio value, P&L, and holdings reflect the new trade within a few seconds,High
FIN-011,Portfolio & Balance,Functional,Available balance reflects reserved funds for open orders,Open limit order exists,"1. Place a limit order 2. Check available balance",Reserved amount visible,Available balance is reduced by the reserved order amount,Medium
FIN-012,Portfolio & Balance,Boundary,Balance displays correctly at zero,All funds used,"1. Use full balance in a trade 2. Check balance screen",Balance = 0,Balance shows 0.00, not blank or an error state,Low
FIN-013,Market Data,Functional,Live price ticker updates in real time,Market open,"1. Open instrument detail page 2. Observe price for 30 seconds",N/A,Price updates without manual refresh; no stale data warning,Medium
FIN-014,Market Data,Negative,App handles market data feed disconnect,Simulate feed drop,"1. Disconnect data feed 2. Observe ticker",N/A,App shows a 'data delayed' indicator instead of freezing or showing wrong prices,High
FIN-015,Alerts & Notifications,Functional,Price alert triggers a push notification,Alert configured,"1. Set alert for target price 2. Simulate price crossing target",Target: +5%,Push notification is received with correct instrument and price,Medium
FIN-016,Alerts & Notifications,Negative,Duplicate alerts are not sent repeatedly,Alert already triggered once,"1. Keep price above target 2. Wait",N/A,Only one notification is sent per trigger event, not repeated spam,Low
FIN-017,Charts,Functional,Candlestick chart switches timeframes correctly,Instrument page open,"1. Switch from 1D to 1W to 1M views",N/A,Chart re-renders with correct data range for each timeframe,Medium
FIN-018,Onboarding,Functional,New user completes KYC-style profile setup,New account,"1. Complete required profile fields 2. Submit",Sample profile data,Profile is marked complete; user gains trading access,High
FIN-019,Onboarding,Negative,User skips a mandatory onboarding field,New account,"1. Leave a required field blank 2. Try to submit",N/A,Form blocks submission with a clear validation message,Medium
FIN-020,Accessibility,Functional,Order screen is usable with screen reader,Accessibility mode on,"1. Enable screen reader 2. Navigate order form",N/A,All fields and buttons are announced correctly and in logical order,Low
