Test ID,Module,Type,Scenario,Preconditions,Steps,Test Data,Expected Result,Priority
SAAS-001,Authentication,Functional,User signs up with a valid email and password,N/A,1. Fill signup form 2. Submit,email: newuser@example.com,Account is created; verification email sent,High
SAAS-002,Authentication,Negative,Signup blocks a weak password,N/A,1. Enter password '123' 2. Submit,Password: 123,Inline error requires a stronger password before submission,Medium
SAAS-003,Authentication,Functional,User resets password via email link,Account exists,1. Request password reset 2. Open emailed link 3. Set new password,N/A,User can log in with the new password immediately after,High
SAAS-004,Access Control,Functional,Admin user can access the admin settings page,User role = Admin,1. Log in as admin 2. Navigate to Settings,Role: Admin,Admin settings page loads with full controls visible,High
SAAS-005,Access Control,Negative,Standard user cannot access admin-only pages,User role = Member,1. Log in as member 2. Try to open /admin URL directly,Role: Member,User is redirected or shown a 403/forbidden message,High
SAAS-006,Dashboard,Functional,Dashboard widgets load with correct account data,Account has activity data,1. Log in 2. Open dashboard,N/A,"Widgets show accurate, up-to-date figures for the logged-in account",Medium
SAAS-007,Dashboard,Edge Case,Dashboard handles a brand-new account with zero data,"New account, no activity",1. Log in as new user 2. Open dashboard,N/A,Empty-state messaging is shown instead of broken charts or errors,Medium
SAAS-008,User Settings,Functional,User updates their profile name and it reflects app-wide,N/A,1. Go to Settings 2. Change display name 3. Save,Name: 'A. Tester',"Updated name appears in header, comments, and account menu",Low
SAAS-009,User Settings,Functional,User changes email and must reverify,N/A,1. Change account email 2. Save,New email address,Account is flagged unverified until the new email is confirmed,Medium
SAAS-010,Notifications,Functional,User receives an in-app notification for a relevant event,Event triggers notification,1. Trigger the event (e.g. teammate comment) 2. Check notification bell,N/A,Notification appears with correct content and links to the right place,Medium
SAAS-011,Notifications,Functional,User can turn off email notifications for a category,N/A,1. Go to Notification Settings 2. Disable a category 3. Trigger that event,N/A,No email is sent for that category after it's disabled,Low
SAAS-012,Team/Invites,Functional,Admin invites a new team member by email,Admin role,1. Go to Team page 2. Enter email 3. Send invite,email: teammate@example.com,Invitee receives an invite email; pending status shown in team list,Medium
SAAS-013,Team/Invites,Negative,Inviting an already-registered team member is handled cleanly,Email already a member,1. Try to invite an existing member's email,Existing email,Clear message that the user is already on the team; no duplicate invite,Low
SAAS-014,Billing (UI only),Functional,Billing page displays the current plan correctly,Account on a paid plan,1. Open Billing/Subscription page,N/A,Current plan name and renewal date are displayed accurately,Medium
SAAS-015,Session,Security,User is logged out on all devices after a password change,Logged in on 2 devices,1. Change password on device A 2. Check session on device B,N/A,Device B's session is invalidated and requires re-login,High
