Test ID,Module,Type,Scenario,Preconditions,Steps,Test Data,Expected Result,Priority
ECOM-001,Login,Functional,User logs in with valid credentials,Registered account exists,1. Open login page 2. Enter valid email/password 3. Click Login,email: shopper1@example.com,User is redirected to homepage; session created,High
ECOM-002,Login,Negative,User logs in with invalid password,Registered account exists,"1. Enter valid email, wrong password 2. Click Login",wrongpass,Error message shown; user stays on login page,High
ECOM-003,Search,Functional,User searches for a product by name,Catalog has matching items,1. Type product name in search bar 2. Press Enter,Query: 'running shoes',"Relevant results are returned, sorted by relevance",High
ECOM-004,Search,Edge Case,User searches with special characters only,N/A,1. Type '!!!@@@' 2. Search,Query: '!!!@@@',No crash; 'No results found' shown gracefully,Low
ECOM-005,Product Page,Functional,Out-of-stock product shows correct state,Product stock = 0,1. Open out-of-stock product page,Stock: 0,'Add to Cart' is disabled; 'Notify me' option shown instead,Medium
ECOM-006,Cart,Functional,User adds item to cart,Product in stock,1. Open product page 2. Click Add to Cart,Qty: 1,Cart icon count increases; item appears in cart summary,High
ECOM-007,Cart,Functional,User updates item quantity in cart,Item already in cart,1. Open cart 2. Increase quantity to 3,Qty: 1 to 3,Line total and cart total recalculate correctly,High
ECOM-008,Cart,Boundary,User tries to exceed available stock in cart,Stock = 5,1. Set quantity to 6 in cart,"Qty: 6, stock: 5",Quantity is capped at 5 with a stock-limit message,Medium
ECOM-009,Cart,Functional,User removes item from cart,Item in cart,1. Click Remove on an item,N/A,Item removed; cart total updates; empty-cart state shown if last item,Medium
ECOM-010,Coupons,Functional,Valid coupon code applies discount,Active coupon exists,1. Enter coupon code at checkout 2. Apply,Code: SAVE10,Discount is applied and reflected in the order total,Medium
ECOM-011,Coupons,Negative,Expired coupon code is rejected,Coupon expired,1. Enter expired code 2. Apply,Code: OLDCODE,Error message: coupon expired; total remains unchanged,Medium
ECOM-012,Checkout,Functional,User completes checkout with saved address,Address saved on profile,1. Go to checkout 2. Select saved address 3. Confirm order,N/A,Order confirmation page shown with correct order summary,High
ECOM-013,Checkout,Negative,Checkout blocks invalid payment details,N/A,1. Enter invalid card number 2. Submit,Card: 1234-INVALID,Validation error shown; order is not placed,High
ECOM-014,Checkout,Edge Case,User's cart becomes empty mid-checkout (item removed by admin),Item removed from catalog during checkout,1. Start checkout 2. Item goes out of stock server-side 3. Try to place order,N/A,User is shown a clear message and returned to cart instead of a broken order,Medium
ECOM-015,Payments,Functional,Order confirmation email is triggered,Checkout completed,1. Complete checkout successfully,N/A,Confirmation email is queued with correct order ID and items,Medium
ECOM-016,Payments,Negative,Payment gateway timeout is handled gracefully,Simulate slow gateway response,1. Submit payment 2. Gateway takes >30s to respond,N/A,User sees a retry/timeout message; order is not double-charged,High
ECOM-017,Order Tracking,Functional,User views order status after placing an order,Order placed,1. Go to Order History 2. Open the order,N/A,Correct status (e.g. Processing) and item details are shown,Medium
ECOM-018,Order Tracking,Functional,Order status updates as it moves through fulfillment,Order in Processing,1. Simulate status change to Shipped 2. Refresh order page,N/A,UI reflects updated status without requiring app reinstall/relogin,Medium
ECOM-019,Cross-Device,Functional,Cart persists across web and mobile app for the same account,Same account logged in on both,1. Add item on web 2. Open mobile app,N/A,Cart contents are synced across both platforms,Medium
ECOM-020,UI/Responsive,Functional,Product grid reflows correctly on small screens,N/A,1. Open catalog page on a narrow viewport (375px),N/A,Grid switches to single-column layout with no overlapping elements,Low
