Test ID,Module,Scenario,Steps,Expected Result,Priority
TC-001,Login,User logs in with valid credentials,"1. Open login page 2. Enter valid email/password 3. Click Login",User is redirected to the dashboard and session is created,High
TC-002,Login,User logs in with invalid password,"1. Open login page 2. Enter valid email, wrong password 3. Click Login",Error message shown; user stays on login page,High
TC-003,Login,Login form blocks empty submission,"1. Open login page 2. Leave fields blank 3. Click Login",Inline validation errors shown for required fields,Medium
TC-004,Login,Password field masks input,"1. Open login page 2. Type into password field",Characters are masked; a toggle reveals/hides text,Low
TC-005,Cart,User adds item to cart,"1. Open product page 2. Click Add to Cart",Cart icon updates count; item appears in cart summary,High
TC-006,Cart,User updates item quantity in cart,"1. Open cart 2. Increase quantity of an item",Line total and cart total recalculate correctly,High
TC-007,Cart,User removes item from cart,"1. Open cart 2. Click Remove on an item",Item is removed; cart total updates; empty-cart state shown if last item,Medium
TC-008,Checkout,User completes checkout with saved address,"1. Go to checkout 2. Select saved address 3. Confirm order",Order confirmation page shown with correct order summary,High
TC-009,Checkout,Checkout blocks invalid payment details,"1. Go to checkout 2. Enter invalid card number 3. Submit",Validation error shown; order is not placed,High
TC-010,Checkout,Order confirmation email is triggered,"1. Complete checkout successfully",Confirmation email is queued/sent with correct order ID,Medium
TC-011,Mobile,App handles no-network state gracefully,"1. Turn off network 2. Open app 3. Attempt to load product list","Friendly offline message shown, no crash",High
TC-012,Mobile,Pull-to-refresh updates product list,"1. Open product list 2. Pull down to refresh",List reloads with a loading indicator and updated data,Low
